Contaminant_Score,Simpson_Race_DI_score,Simpson_Ethnic_DI_score,Shannon_Race_DI_score_score,Shannon_Ethnic_DI_score,Gini_Index_score,Total,Priority
1,0,1,1,1,0,4,0
1,1,1,1,1,0,5,0
1,1,1,1,1,1,6,1
1,1,1,1,1,0,5,0
1,1,1,1,1,1,6,1
0,1,1,1,1,0,4,0
1,1,1,1,1,1,6,1
1,0,1,0,1,0,3,0
1,1,1,1,1,1,6,1
2,1,2,2,2,1,10,2
1,2,1,1,1,1,7,2
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,2,7,2
1,1,1,1,1,0,5,0
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,2,1,7,2
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,2,1,2,0,7,2
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,0,1,1,5,0
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
0,1,1,1,1,1,5,0
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,0,1,0,1,1,4,0
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,0,1,1,5,0
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,2,1,7,2
1,1,1,1,1,0,5,0
0,1,1,1,1,1,5,0
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,0,1,0,1,1,4,0
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,2,2,2,2,1,10,2
1,1,1,1,1,0,5,0
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,0,1,0,1,1,4,0
1,1,1,1,1,0,5,0
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,0,1,1,5,0
2,1,1,1,2,1,8,2
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,0,1,0,1,1,4,0
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,0,1,0,1,1,4,0
1,1,1,1,1,1,6,1
1,0,1,0,1,1,4,0
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
2,1,1,1,1,1,7,2
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,2,7,2
2,1,2,1,2,1,9,2
1,1,1,1,1,0,5,0
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
0,1,1,1,1,2,6,1
2,1,2,1,2,1,9,2
1,1,1,1,2,2,8,2
1,1,1,1,1,0,5,0
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,2,1,1,1,2,8,2
1,1,1,1,1,1,6,1
1,2,1,1,1,1,7,2
1,1,1,1,1,1,6,1
1,2,1,1,0,2,7,2
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,2,1,1,1,1,7,2
1,1,1,1,1,1,6,1
1,1,1,1,1,2,7,2
1,1,1,1,0,1,5,0
1,2,1,1,1,1,7,2
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,2,1,2,1,8,2
0,2,1,1,0,2,6,1
1,2,1,1,1,1,7,2
1,1,1,1,1,1,6,1
1,2,1,1,1,2,8,2
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,2,1,1,1,2,8,2
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,2,1,1,1,2,8,2
1,1,1,1,1,1,6,1
1,1,2,1,2,1,8,2
1,2,1,1,1,1,7,2
1,2,1,1,1,1,7,2
1,2,1,1,1,1,7,2
1,2,1,1,1,2,8,2
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,2,1,1,1,1,7,2
2,1,1,1,1,1,7,2
1,1,1,1,0,2,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
2,1,1,1,1,1,7,2
1,0,1,0,1,1,4,0
1,1,1,1,1,1,6,1
1,1,2,2,2,1,9,2
1,2,1,2,1,2,9,2
1,1,1,1,1,1,6,1
1,0,1,0,1,0,3,0
1,0,1,0,1,1,4,0
2,1,1,1,1,1,7,2
1,1,1,1,1,2,7,2
1,2,2,2,2,2,11,2
1,1,1,1,1,1,6,1
2,1,1,1,1,1,7,2
1,1,1,1,1,1,6,1
2,1,1,1,1,1,7,2
1,2,2,2,2,1,10,2
1,0,1,0,1,1,4,0
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
2,1,1,0,1,1,6,1
1,1,1,1,1,1,6,1
1,0,1,0,0,1,3,0
1,1,1,1,1,0,5,0
1,0,1,0,1,1,4,0
1,1,1,0,1,1,5,0
1,0,1,0,1,1,4,0
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,2,7,2
1,1,1,1,1,1,6,1
1,1,1,0,1,1,5,0
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,2,2,2,2,1,10,2
1,1,1,1,1,1,6,1
1,2,2,2,2,1,10,2
0,1,1,1,1,1,5,0
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
2,1,1,1,1,1,7,2
2,1,1,1,2,1,8,2
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,0,1,1,5,0
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,0,1,0,1,1,4,0
2,1,1,1,1,1,7,2
1,1,1,0,1,1,5,0
1,1,1,1,1,1,6,1
1,1,1,0,1,1,5,0
2,1,1,1,1,1,7,2
2,0,1,0,1,1,5,0
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
2,1,1,1,1,1,7,2
1,1,1,0,1,0,4,0
1,0,1,0,1,1,4,0
1,1,1,1,1,0,5,0
1,1,1,1,1,1,6,1
1,1,1,0,1,1,5,0
1,1,1,2,1,1,7,2
2,2,1,1,1,1,8,2
1,1,1,1,1,1,6,1
1,0,1,0,0,0,2,0
1,1,1,1,1,1,6,1
2,1,1,1,1,1,7,2
1,1,1,1,1,1,6,1
2,1,1,1,1,1,7,2
1,1,1,1,1,1,6,1
2,0,1,0,1,1,5,0
1,0,1,0,1,1,4,0
2,1,1,0,1,1,6,1
1,2,2,2,2,1,10,2
2,1,1,1,1,1,7,2
1,2,1,2,2,1,9,2
2,1,1,0,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,2,1,2,1,8,2
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
2,1,1,1,1,1,7,2
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,0,1,1,5,0
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,2,1,2,1,8,2
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
2,0,1,0,1,1,5,0
2,1,1,1,1,1,7,2
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,0,1,1,1,1,5,0
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,0,1,0,1,1,4,0
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,2,2,2,2,1,10,2
2,1,1,1,1,0,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,0,1,0,1,1,4,0
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,0,1,1,5,0
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
0,1,1,1,1,1,5,0
2,1,1,1,1,1,7,2
0,1,1,1,1,1,5,0
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,2,1,1,1,1,7,2
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,0,1,1,5,0
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,0,1,0,1,1,4,0
1,1,1,1,1,2,7,2
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
2,0,1,0,1,1,5,0
1,1,1,1,1,1,6,1
1,1,1,1,1,0,5,0
1,1,1,1,1,1,6,1
1,1,1,0,1,1,5,0
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,0,1,0,1,1,4,0
0,1,1,1,1,1,5,0
2,1,1,1,1,1,7,2
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
0,1,1,1,1,1,5,0
1,1,1,1,1,1,6,1
2,1,1,1,1,1,7,2
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
0,1,1,0,1,0,3,0
2,1,1,1,1,1,7,2
1,1,1,1,1,1,6,1
0,1,2,1,2,1,7,2
1,1,1,0,1,1,5,0
1,1,1,0,1,1,5,0
1,1,1,1,1,1,6,1
0,1,1,0,1,1,4,0
1,1,1,1,1,1,6,1
2,1,1,1,1,1,7,2
1,0,1,0,1,1,4,0
1,1,1,0,1,1,5,0
2,1,1,1,1,1,7,2
1,1,1,1,1,1,6,1
2,1,1,1,1,1,7,2
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,2,7,2
2,1,1,1,1,2,8,2
1,1,1,1,1,1,6,1
1,0,1,0,1,1,4,0
1,1,1,1,1,1,6,1
1,1,1,1,1,2,7,2
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
0,1,1,1,1,1,5,0
1,1,1,1,1,1,6,1
2,1,1,1,1,1,7,2
1,1,1,1,1,2,7,2
1,1,1,1,1,1,6,1
1,0,1,0,0,2,4,0
2,1,1,1,1,1,7,2
1,1,1,1,1,1,6,1
2,1,1,1,1,0,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,2,7,2
0,1,1,1,1,1,5,0
1,1,1,0,1,1,5,0
1,0,1,0,1,1,4,0
0,1,1,1,1,1,5,0
1,1,1,1,1,1,6,1
2,1,1,1,1,1,7,2
1,1,1,1,1,1,6,1
1,0,1,0,1,1,4,0
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,2,1,2,1,1,8,2
1,1,1,1,1,0,5,0
1,0,1,0,0,2,4,0
1,1,1,1,1,1,6,1
2,1,1,1,1,1,7,2
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
2,1,1,1,1,1,7,2
1,1,1,2,1,1,7,2
2,1,1,1,1,1,7,2
1,1,1,1,1,1,6,1
0,1,1,0,1,1,4,0
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
0,1,1,1,1,1,5,0
1,1,1,1,1,1,6,1
1,1,1,1,1,0,5,0
1,1,1,1,1,1,6,1
1,1,1,1,1,2,7,2
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
2,1,1,1,1,1,7,2
1,0,1,0,0,1,3,0
1,1,1,0,1,1,5,0
1,1,1,1,1,2,7,2
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,2,1,0,6,1
2,1,1,1,1,1,7,2
1,1,1,0,1,1,5,0
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,0,1,1,5,0
1,1,1,1,1,1,6,1
1,2,1,1,1,1,7,2
1,0,1,0,1,1,4,0
1,0,1,0,0,1,3,0
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,0,1,0,1,1,4,0
1,1,1,1,1,1,6,1
0,1,1,1,1,1,5,0
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,0,2,6,1
1,0,1,0,1,1,4,0
1,2,1,2,1,2,9,2
1,2,1,1,1,1,7,2
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,0,1,0,0,1,3,0
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
0,0,1,0,1,1,3,0
1,1,1,1,1,1,6,1
0,1,1,1,1,1,5,0
0,1,1,1,1,1,5,0
0,0,1,0,1,1,3,0
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
2,1,1,1,1,1,7,2
0,1,1,1,1,2,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
0,1,1,1,1,1,5,0
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
2,1,1,1,1,1,7,2
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
2,2,1,1,1,1,8,2
1,2,1,1,1,1,7,2
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,0,5,0
1,1,1,1,1,2,7,2
1,1,1,1,1,1,6,1
1,1,1,1,1,2,7,2
0,1,1,1,1,0,4,0
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,2,2,2,1,9,2
1,1,1,1,1,1,6,1
1,2,2,2,2,1,10,2
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
2,1,2,2,2,1,10,2
1,2,2,2,2,1,10,2
1,2,2,2,2,1,10,2
1,1,1,1,2,1,7,2
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,2,2,2,2,1,10,2
1,1,1,1,1,1,6,1
1,1,2,1,2,1,8,2
1,1,1,1,1,1,6,1
1,1,2,1,2,1,8,2
1,0,1,0,0,1,3,0
1,1,1,1,1,1,6,1
1,1,1,0,1,1,5,0
1,0,1,0,0,1,3,0
2,1,1,1,1,1,7,2
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,2,1,1,1,1,7,2
1,0,1,0,0,1,3,0
2,1,1,1,1,1,7,2
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,0,1,0,0,1,3,0
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,0,1,0,0,1,3,0
1,1,1,1,1,1,6,1
2,1,1,1,1,1,7,2
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,0,1,0,1,1,4,0
1,1,1,1,1,2,7,2
1,1,1,1,1,1,6,1
2,1,1,0,1,1,6,1
1,2,1,2,2,2,10,2
1,0,1,0,1,1,4,0
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,0,1,1,5,0
1,0,1,0,0,1,3,0
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
2,1,1,1,1,1,7,2
1,1,1,1,1,1,6,1
1,1,1,0,1,1,5,0
1,1,1,1,1,1,6,1
1,0,1,0,0,1,3,0
1,1,1,1,1,2,7,2
2,0,1,0,0,1,4,0
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,0,1,0,0,1,3,0
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,0,1,0,0,1,3,0
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,0,1,1,5,0
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
2,1,1,0,1,0,5,0
2,1,1,1,1,2,8,2
1,0,1,0,0,1,3,0
1,0,1,0,0,2,4,0
1,0,1,0,1,2,5,0
1,1,1,1,1,1,6,1
1,1,1,1,1,1,6,1
1,1,1,0,1,1,5,0
1,0,1,0,0,1,3,0
1,1,1,0,0,1,4,0
2,0,1,0,0,1,4,0
1,0,1,0,0,1,3,0
2,0,1,0,1,2,6,1
1,0,1,0,0,1,3,0
1,0,1,0,0,1,3,0
1,2,2,2,2,1,10,2
2,2,2,2,2,1,11,2
1,1,1,2,1,1,7,2
2,2,2,2,2,1,11,2
1,2,2,2,2,1,10,2
1,1,1,1,2,1,7,2
1,2,2,2,2,1,10,2
0,1,1,2,2,1,7,2
1,2,2,2,2,1,10,2
1,2,2,2,2,2,11,2
1,2,2,2,2,1,10,2
1,2,2,2,2,1,10,2
1,2,2,2,2,1,10,2
1,2,2,2,2,1,10,2
0,2,2,2,2,1,9,2
